idx,subject,acquisition,reconstruction,run,suffix,space,desc,session,task,report_type,chunk,been_on_screen,report,rater,note,usable,dn_action,usable_rev,note_rev,reviewed,idx_fmap,chunk_fmap,from_fmap_corrected_run
0.0,20900,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,,,False
1.0,21111,,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,,,False
2.0,21250,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,v1,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,0.0,0.0,True
3.0,21669,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,v1,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,,,False
4.0,21670,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,v1,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,,,False
5.0,21723,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,,,False
6.0,21748,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,,,False
7.0,22127,,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,0.0,True,1.0,dn,some ghosting on the anat,True,,,,False,,,False
8.0,22228,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,,,False
9.0,22279,,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,,,False
11.0,22409,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,,,False
12.0,22477,,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,,,False
13.0,22686,,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,,,False
14.0,22694,mprage,prenorm,2.0,T1w,MNI152NLin2009cAsym,,v1,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,,,False
15.0,22695,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,v1,,MNI152NLin2009cAsym,0.0,True,1.0,dn,ghosting,True,,,,False,,,False
16.0,22698,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,,,False
17.0,22699,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,,,False
18.0,22749,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,,,False
19.0,22812,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,,,False
20.0,22859,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,i5,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,,,False
21.0,22892,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,0.0,True,1.0,dn,ghosting,True,,,,False,,,False
22.0,22893,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,v1,,MNI152NLin2009cAsym,0.0,True,1.0,dn,,True,,,,False,,,False
