measure,icc_mean,icc_sd,lower_bound,upper_bound,group
1_0,0.6388284693341382,0.0825535598287093,0.14858121985701714,0.8784824607393907,mdd
10_0,0.3904503590782267,0.11368441274476598,-0.1868144137131552,0.7705346424501288,mdd
10_1,0.3254647026004691,0.11573509985895615,-0.25248090143133556,0.7374111023586534,mdd
10_2,0.3806865962705726,0.12495791919238701,-0.19056058216671795,0.7643793550818815,mdd
10_3,0.6043192783661931,0.08793353289478861,0.09293281934745133,0.8650032818650276,mdd
10_4,0.38433554834397887,0.11687340534726556,-0.18661728777920372,0.7665913959651894,mdd
10_5,0.36601923464651387,0.11914700787396279,-0.20744273304438252,0.757232621905846,mdd
10_6,0.3394308710759632,0.1335996020725371,-0.23947310695813995,0.7443405770673864,mdd
10_7,0.5623503392803733,0.07688521409940699,0.029454884033519497,0.848175154836386,mdd
10_8,0.33386449540943586,0.11830164405651483,-0.24642427915993817,0.7421964209372869,mdd
10_9,0.451598556941539,0.10634286146087814,-0.1147982389889714,0.7993438253079426,mdd
100_0,0.23342536688316173,0.12108614233448034,-0.3380807772038483,0.686975196900603,mdd
100_1,0.1398642787510191,0.12012035915610096,-0.42913931526885907,0.6345580482656895,mdd
100_10,0.34041159291489825,0.11399979719772779,-0.23052056988826217,0.744305867100274,mdd
100_11,0.4307742877040225,0.10960890061243261,-0.13690720666673026,0.7895310593715511,mdd
100_12,0.4202688313909497,0.11260073147044362,-0.15161218811977215,0.7846570466075357,mdd
100_13,0.09382092787399109,0.09578853215669234,-0.46536520374448065,0.6065628205747294,mdd
100_14,0.24364443864604796,0.11137266818750237,-0.32635428677483025,0.6928344611871607,mdd
100_15,0.446960129221244,0.09018905383065201,-0.12148331865735314,0.7977780975257562,mdd
100_16,0.2606012161134255,0.12872684077063154,-0.3196219713408694,0.7032070611667219,mdd
100_17,0.4167894077206403,0.13880750151511637,-0.15085073933457666,0.7815353262427823,mdd
100_18,0.3350690527742261,0.10499059717059697,-0.2331249786999305,0.7415186350887324,mdd
100_19,0.41492991683579805,0.08957495136066689,-0.16210816988552795,0.7831545825895067,mdd
100_2,0.32116129481593686,0.12021161138158692,-0.24948845217274826,0.733824615350234,mdd
100_20,0.28321435218783797,0.13028358453054822,-0.29156930661877695,0.7140286244678163,mdd
100_21,0.3432284773158645,0.1020389462835946,-0.22831816537389862,0.7475988995130419,mdd
100_22,0.39302969967404344,0.12153443686749896,-0.18087837856254083,0.771116937665225,mdd
100_23,0.3978132660398832,0.09964927335169503,-0.1786629427882154,0.7744641104407317,mdd
100_24,0.3882220963768354,0.1185591283608711,-0.18514648308589493,0.7686905931427567,mdd
100_25,0.32940818598075033,0.12216404239375257,-0.24079878412731268,0.7380030286433329,mdd
100_26,0.2439550971063719,0.11560603326717431,-0.33354575713376566,0.6943183184179135,mdd
100_27,0.5035818689086343,0.10478570748072512,-0.0489791359886868,0.8225707703815979,mdd
100_28,0.4746509572404695,0.10260242359056158,-0.0863383458996548,0.8105609065801804,mdd
100_29,0.34703329628957746,0.13742950714727503,-0.21150309604895237,0.7450644519120828,mdd
100_3,0.4513610015850543,0.11586634886438923,-0.11173008343699876,0.7987327677412297,mdd
100_30,0.3932712356915556,0.11542598314677416,-0.17994741203959824,0.7712695749652363,mdd
100_31,0.3285296657437938,0.12780805568671147,-0.2363671925044494,0.7370852429828512,mdd
100_32,0.3877555727100624,0.12998436982338005,-0.18215011081069832,0.7678594002360499,mdd
100_33,0.18464297046581762,0.11994567895606126,-0.3922970661308143,0.6615586569218934,mdd
100_34,0.34081178243433385,0.08962859337295606,-0.23248997983294897,0.7457906535258843,mdd
100_35,0.2325835988361418,0.13424931858520547,-0.32709663307456877,0.6835586606625804,mdd
100_36,0.4610666773815516,0.12067765268932076,-0.11868281330743272,0.8066084286906046,mdd
100_37,0.28499899544821533,0.11688187428010642,-0.29166463291216077,0.7159930167483858,mdd
100_38,0.43165466923594636,0.10085050796293456,-0.13863219283247863,0.7902112861541254,mdd
100_39,0.2310305418701683,0.0927238080415757,-0.34895959131460724,0.6885458910444968,mdd
100_4,0.5046793640635643,0.10696764593152903,-0.049222724091202,0.8233327165931241,mdd
100_40,0.2898331582236382,0.10976202913027397,-0.29392497973817666,0.7200731490157672,mdd
100_41,0.245636902663454,0.12278409678816597,-0.32998014087322164,0.6943515138813198,mdd
100_42,0.3698381371650329,0.09721564215898218,-0.2016334796255304,0.7606738331979439,mdd
100_43,0.33439227881975847,0.11559116939140787,-0.24734067869011567,0.742649132920326,mdd
100_44,0.4815378857096364,0.09817292894833121,-0.08433509433909803,0.8146429488139117,mdd
100_45,0.2230633488140023,0.10569716214577198,-0.35448568061338404,0.6833584114082359,mdd
100_46,0.3876460628910143,0.1340698997520613,-0.18593354144207502,0.7680061361238709,mdd
100_47,0.3043436833632903,0.13452667068609614,-0.2618773078619449,0.7237454353813255,mdd
