measure,icc_mean,icc_sd,lower_bound,upper_bound
1_0,0.4944038679606339,0.07975355364972585,0.07241727537369749,0.7674570129951102
10_0,0.36120846601929046,0.08794477147848485,-0.08916332857016437,0.6908312164893698
10_1,0.31122525785781785,0.09201896709311146,-0.14179470966905156,0.6593885584755709
10_2,0.29927069192439665,0.09485522824607381,-0.146797023891759,0.6499176714643645
10_3,0.5129578765553515,0.0806164349653391,0.09437848519361396,0.7783340921275956
10_4,0.2688090053653348,0.10263701587929658,-0.18029606321212058,0.6305430583511897
10_5,0.24273059273037276,0.09530006548346036,-0.21217441534372328,0.6147701845671099
10_6,0.33693647626533746,0.116916254897163,-0.11406915756408055,0.6748103471481613
10_7,0.5146013511048597,0.06625702354435713,0.09796525688350732,0.7787914198522327
10_8,0.3236520623172081,0.09400485713417028,-0.13050531234765575,0.667617015742
10_9,0.40195586312248266,0.08648498656630552,-0.041296158329283024,0.714965967999375
100_0,0.2258425222521617,0.09761174234876212,-0.23140408638999185,0.6042191132039921
100_1,0.13578579873895516,0.10474954411021332,-0.3143874981450939,0.540512725386445
100_10,0.30485214210364753,0.0860089850170014,-0.15064376357861556,0.656030722174308
100_11,0.3148309937699867,0.09380956441793047,-0.14121994558311315,0.6623078838933486
100_12,0.3329087756914123,0.09324997683373625,-0.1221860280264775,0.6737320429404622
100_13,0.11338783961437061,0.09398965425325229,-0.33630671768525955,0.525012148911875
100_14,0.23057526314657165,0.08772126313490032,-0.2281899029509302,0.6079559584401159
100_15,0.3100777589082721,0.08408739697323203,-0.1433673764010028,0.6590586140855751
100_16,0.16841951594148472,0.09866838856865615,-0.28876749750178093,0.5653121332507505
100_17,0.23875629954226432,0.10242905386673296,-0.22001523205499035,0.612990214601829
100_18,0.27110635042487796,0.0947932426690015,-0.18121683763213597,0.6328665614873625
100_19,0.31774689211706747,0.0817593907664742,-0.13914892947470217,0.6648241491513969
100_2,0.32597397856492505,0.10409853386109057,-0.12710370753637304,0.6686359075309314
100_20,0.2573350555366991,0.09951645357987095,-0.20192822883477568,0.6255035882540383
