type,ICC,F,df1,df2,p,lower bound,upper bound,measure
ICC2,0.15390741598177493,1.3638075049679428,33,33,0.1886892829262205,-0.5653564835987078,0.7416089635800525,1_0
ICC2,0.3684029599579867,2.1672301368643985,33,33,0.01468757456374448,-0.3845895764322489,0.8288047272367068,2_0
ICC2,0.2572884840031355,1.6944916664163,33,33,0.06747685236728872,-0.4835737353746759,0.7859777899206262,2_1
ICC2,0.18265884652992992,1.4469586432897474,33,33,0.14680231938797506,-0.5444693004086086,0.7545533530561589,3_0
ICC2,0.29009921040993675,1.817295077464152,33,33,0.04546688460489608,-0.45802950205001747,0.7993566241727939,3_1
ICC2,0,1,33,33,0.49999999999999856,-0.5581259732572041,0.6397101693037034,3_2
ICC2,0.12339638191477177,1.2815329059828684,33,33,0.24002675623760256,-0.586613702862487,0.727389529393847,4_0
ICC2,0.2035444659886847,1.5111257497666981,33,33,0.120442147055723,-0.5287425985040246,0.7636916474031967,4_1
ICC2,0,1,33,33,0.49999999999999856,-0.6642493822533512,0.6642493822533512,4_2
ICC2,0.2656266967081689,1.723410547517172,33,33,0.06150617049011254,-0.47898938012744086,0.7896172647601473,4_3
ICC2,0.26808607548440355,1.7325617576187835,33,33,0.059726202654530915,-0.4769192661322343,0.790607884163826,5_0
ICC2,0.41391919251525383,2.4124987125114226,33,33,0.006721000143135728,-0.33802610339769307,0.8449026622970379,5_1
ICC2,0.2386518616314661,1.6269191440931734,33,33,0.0836929799157898,-0.5011847937966529,0.7785732750140215,5_2
ICC2,0.32337746052568583,1.9558577838004814,33,33,0.029051781068202172,-0.42817973781073754,0.8121915562519564,5_3
ICC2,0.25805540972252494,1.6956190882826343,33,33,0.06723388923591227,-0.4853127586825957,0.7865506887172639,5_4
ICC2,0.45973148992689306,2.7018629861091994,33,33,0.0027307024235385608,-0.2866187514380265,0.8603244231141053,6_0
ICC2,0.6212981238956141,4.281199080853555,33,33,3.4020341107052756e-5,-0.06383025542952186,0.9094739816752169,6_1
ICC2,0.24888407162517406,1.6627048162896867,33,33,0.0746873811104925,-0.492873848463622,0.7828014892271704,6_2
ICC2,0.6570833581135606,4.832321204811895,33,33,9.024996686363348e-6,-0.003254124372501677,0.9193763950343964,6_3
ICC2,0.30805827542720626,1.890416821206734,33,33,0.03590042680543979,-0.4421205519351313,0.806340403327299,6_4
ICC2,0.23459594545238727,1.6129989619431628,33,33,0.08746960995030413,-0.5044434141079053,0.7768838648838774,6_5
ICC2,0.3012304690529201,1.8621740236574034,33,33,0.03933246143383205,-0.4482231255127848,0.8037012541626931,7_0
ICC2,0.24951461596668525,1.6649422603864743,33,33,0.07415640751615035,-0.49235698989305127,0.7830604266402664,7_1
ICC2,0.342412253554834,2.041419203462565,33,33,0.02203124405159551,-0.41036099913978236,0.8193295105270394,7_2
ICC2,0,1,33,33,0.49999999999999856,-0.6642493822533512,0.6642493822533512,7_3
ICC2,0.4702914218438296,2.775660962413853,33,33,0.0021799298720584395,-0.2741389815011664,0.8637792667574044,7_4
ICC2,0.1423868304427302,1.332053740537206,33,33,0.20726469720915164,-0.5734894840132256,0.7362996249551399,7_5
ICC2,0.4180679732856075,2.4368275128146264,33,33,0.006224659224000777,-0.33354484281795166,0.8463290400399196,7_6
ICC2,0.4154041590380243,2.421167000964154,33,33,0.006539647242169871,-0.33642595839962725,0.8454138999983987,8_0
ICC2,0.4401099877860624,2.5721301619429267,33,33,0.004075808745326845,-0.3091652599374259,0.8538068144357578,8_1
ICC2,0.4531105173001658,2.657046008869255,33,33,0.0031339056157835307,-0.294318554901227,0.8581395408570432,8_2
ICC2,0.5479021362536657,3.4238209475861883,33,33,3.283892344518547e-4,-0.17416556860282553,0.8880943698173234,8_3
ICC2,0.23959106676563058,1.674274303939826,33,33,0.07198077867453784,-0.4420359830646633,0.7720991345356063,8_4
ICC2,3.408168292043088e-9,1.00000000686022,33,33,0.49999999219836827,-0.6572078156111527,0.6628166741483759,8_5
ICC2,0.36451035208099547,2.231646369541247,33,33,0.01194578257748495,-0.3414674710491374,0.8237613957273889,8_6
ICC2,0.21520591343768777,1.5687737031076956,33,33,0.10057328161469739,-0.4850575394997768,0.7643767024270911,8_7
