measure,icc_mean,icc_sd,lower_bound,upper_bound,group
1_0,0.141778861896324,0.09057838411238893,-0.5551227589726474,0.7315294385781306,hv
10_0,0.3195857799173625,0.11282616978967033,-0.394411386146376,0.8048642899100011,hv
10_1,0.299217098980322,0.1512244172842308,-0.4040897950638368,0.7941518398765227,hv
10_2,0.11933458616584179,0.10899339826083626,-0.5212632640086907,0.7096519692653622,hv
10_3,0.4003200510757098,0.1390170244312101,-0.3068062484456244,0.8343438023178968,hv
10_4,0.12382226892519232,0.10304368407168506,-0.5443514734620216,0.7183720682222807,hv
10_5,0.0324006186420646,0.07703909872049114,-0.621221724330585,0.6754244847993142,hv
10_6,0.3547194664625218,0.16027052511961098,-0.3701920305832897,0.8179197300192155,hv
10_7,0.440627064044793,0.1069599298820643,-0.28902328336551947,0.8514845638784576,hv
10_8,0.36102583696247026,0.15600602719052076,-0.338305397626968,0.8178264187457407,hv
10_9,0.3043403024127216,0.11722657765712184,-0.3955757296866136,0.7982659475286387,hv
100_0,0.23976642784353866,0.13607289207777495,-0.48051839051343137,0.7737778017554842,hv
100_1,0.187981385195668,0.14308261788793403,-0.4692627151892366,0.7425070005734604,hv
100_10,0.2802380863997886,0.13628229343429007,-0.44268755811191357,0.7899026203281039,hv
100_11,0.09639704292686664,0.09278120739184344,-0.5753431706695239,0.7068923075038098,hv
100_12,0.15698177202021987,0.13198558151349077,-0.5444663566775544,0.7369117344118598,hv
100_13,0.17714255021955622,0.13951091668623333,-0.5100612181410646,0.743839425449058,hv
100_14,0.24449754066179757,0.14034220436254866,-0.4698581371001201,0.7747571354687898,hv
100_15,0.028982636813361096,0.07677063801655704,-0.602779824076056,0.6688310563091314,hv
100_16,0.08056097408655971,0.1128596402554977,-0.5875553263614054,0.6991604550623325,hv
100_17,0.028028205199973687,0.060241259955879846,-0.6301221119182338,0.6749028511828253,hv
100_18,0.0839331109772904,0.11274653164060913,-0.5867303747662036,0.7011293089570838,hv
100_19,0.10359957859168561,0.10840956844333399,-0.5295310075372015,0.7032779464203955,hv
100_2,0.35703400414903663,0.15275528300808283,-0.35171396103906105,0.8175503763005063,hv
100_20,0.21091772359085184,0.13576559020170445,-0.48320351771278836,0.7575132338424551,hv
100_21,0.14762166455362186,0.11618675376942181,-0.5472355953063265,0.7330510358054159,hv
100_22,0.3261616137236035,0.14610349925694757,-0.3869778324652431,0.8062107150702524,hv
100_23,0.0789124824116945,0.10649747961964434,-0.5879025658850022,0.6988755193556742,hv
100_24,0.04423816918491451,0.07624000523019142,-0.6075427400285971,0.6803653405335424,hv
100_25,0.12371480558125675,0.11472185613545222,-0.5602246189438607,0.7206413711936068,hv
100_26,0.3997934689794975,0.13393568086683602,-0.329908553269035,0.8362720582036501,hv
100_27,0.036846443312879305,0.08247041017164962,-0.583929365723967,0.6691191294170844,hv
100_28,0.05482317073687093,0.10931632084837016,-0.5944420697583881,0.6837508096520895,hv
100_29,0.09448599983518603,0.11471708918163316,-0.590325595498571,0.7082758493103852,hv
100_3,0.26482421145986723,0.1428123102774246,-0.4539808897931765,0.7830638930137325,hv
100_30,0.23689242147274087,0.20343131600439787,-0.4641816943743346,0.7674485884126908,hv
100_31,0.19793294778503948,0.11819135196277518,-0.5105355501455477,0.7559943539724516,hv
100_32,0.08549009259902067,0.12883253325461844,-0.5864815739634266,0.7009337157594862,hv
100_33,0.15941479809407486,0.12831529033574174,-0.5220001482256618,0.7350999330779611,hv
100_34,0.05089202989371615,0.07685444340739139,-0.6124071258248038,0.6859478082616121,hv
100_35,0.16549241077586807,0.13547911807729457,-0.5337197728421879,0.7400821803527501,hv
100_36,0.08494441437622793,0.1039326448591503,-0.5818513278393799,0.7008843061717939,hv
100_37,0.15677197666124776,0.11100401443479724,-0.5413638701196508,0.7373412767318509,hv
100_38,0.07587574098608621,0.11987323926511163,-0.5604969163076576,0.6896070307200945,hv
100_39,0.01028142226280968,0.03591734373926693,-0.6151909716159452,0.6593187814672781,hv
100_4,0.13336636678916472,0.13775502507395493,-0.5339205777900061,0.7202834952579397,hv
100_40,0.06976988081459269,0.09102760148166589,-0.5599440147888863,0.6884769449108654,hv
100_41,0.054852536500293814,0.08719343025632749,-0.5558003714640013,0.6761918743575425,hv
100_42,0.2914863367511796,0.14511661971217202,-0.43130100389242654,0.7941933352013721,hv
100_43,0.15601720541998174,0.13801905220960445,-0.5370152997211298,0.7352740479768736,hv
100_44,0.12603721505812118,0.11804643866107987,-0.5590320202285358,0.7217156490862752,hv
100_45,0.12458571206934667,0.1278389133395344,-0.5586763495272875,0.7211549593273893,hv
100_46,0.09261900925082996,0.1131955154772098,-0.5891059905423324,0.7067824488025478,hv
100_47,0.196141148139232,0.12249858265052331,-0.5027694421752239,0.7542123251702568,hv
100_48,0.23666112238346407,0.15310367910704462,-0.47734826965638494,0.7712373328043409,hv
100_49,0.18200195168205152,0.14003037099173532,-0.513573510456562,0.7465045576853284,hv
100_5,0.05179035119678845,0.09622669827144643,-0.6031264542181451,0.6845732200920945,hv
100_50,0.052729798194935666,0.09516676014208003,-0.6122261042427813,0.6865479231456898,hv
100_51,0.21352956457641897,0.1578965861223992,-0.4889588033649378,0.75921211787705,hv
100_52,0.09329224692037391,0.10520846733699553,-0.58649623960689,0.7072869693779676,hv
100_53,0.00975300602759517,0.02937874020393998,-0.632679775938574,0.6638774109597243,hv
100_54,0.08892131091951193,0.10580582333492494,-0.5774093356649147,0.7028729519356542,hv
100_55,0.3064101565283441,0.14246641048873668,-0.38726159839476365,0.7979549589356669,hv
100_56,0.14423196687941242,0.12435375852355968,-0.547285491089624,0.73046114770818,hv
100_57,0.016380630611389446,0.04588615366517238,-0.6410621537577122,0.6697624721908111,hv
100_58,0.13479326012374127,0.11534342569548443,-0.5102300862770709,0.7219014890228236,hv
100_59,0.20127010283557142,0.14190550711351776,-0.5100073378389575,0.7569483693853288,hv
100_6,0.017731102510915264,0.047088333103537806,-0.5606619256602567,0.6494658821797977,hv
100_60,0.13442012404351789,0.11716436361333503,-0.5591549260280971,0.7268460867092518,hv
100_61,0.1991650637447403,0.11802959579217512,-0.4975574462910505,0.7555044713268098,hv
100_62,0.04653400842454072,0.07920240613926624,-0.603487674746222,0.6816148214611157,hv
100_63,0.2885155708400298,0.1749011931033671,-0.41515087221297103,0.7896126167765963,hv
100_64,0.34772036648493276,0.10978393391008623,-0.38424761027265736,0.8182561974078585,hv
100_65,0.060150839799620354,0.10504819533987413,-0.600656712695001,0.6888697326629392,hv
100_66,0.2646679541193662,0.1273267012677725,-0.4589051219415335,0.7844300891738369,hv
100_67,0.17042231516653208,0.17450467785262536,-0.5162023947833592,0.738879540746149,hv
100_68,0.15641150256598998,0.12785114144628856,-0.5456816700580074,0.7370160568788571,hv
100_69,0.14008173292595066,0.11952989235086531,-0.5510242669007062,0.7288221903381764,hv
100_7,0.10054207366629304,0.11432942699570055,-0.5779382141702736,0.709530515108264,hv
100_70,0.17343978356618217,0.12162127138553834,-0.4793971121537989,0.7392407606947803,hv
100_71,0.03219799779302327,0.08236619809509682,-0.6279169510668844,0.6767296283637577,hv
100_72,0.052914699751795975,0.09336405324136234,-0.6066404690976593,0.685470661767381,hv
100_73,0.041323707076774345,0.07606603903227226,-0.6180589509548993,0.6806973892603886,hv
100_74,0.0812703355427533,0.1050909931092924,-0.5981033332987561,0.7016936902545939,hv
100_75,0.31181560338174286,0.14014370730745684,-0.41115637221986057,0.8023951351262355,hv
100_76,0.16013719462795473,0.16623370032585869,-0.5233821783210372,0.7346347145631436,hv
100_77,0.13619434739159997,0.11871691602306095,-0.5510712363215383,0.7268749438331925,hv
100_78,0.3330077857987495,0.16586825083113393,-0.3863038040452609,0.8088913880661494,hv
100_79,0.08248511795327941,0.11832522458518183,-0.5699651898864897,0.6960057861275417,hv
100_8,0.38636577376110953,0.14542826009381732,-0.33758028465556805,0.8305967719017306,hv
100_80,0.06898638082823456,0.11004496016461746,-0.6018032761930945,0.6945418729742319,hv
100_81,0.06072411098676464,0.10730819752730497,-0.6061079173707992,0.6899423037299977,hv
100_82,0.0711075456917318,0.10094748353123884,-0.6022387198442956,0.6962255286524384,hv
100_83,0.2218680457134584,0.16212097342309512,-0.475485981757647,0.763290350713368,hv
100_84,0.4673774813112808,0.11799596515612554,-0.2409036584356119,0.8590380245288907,hv
100_85,0.3611049931709436,0.11462068617631939,-0.36999437766018783,0.8231419693757236,hv
100_86,0.07588819661450762,0.10021036345571642,-0.583056534977771,0.6963992413844577,hv
100_87,0.07986138446858848,0.10593701314468941,-0.599269620339406,0.7009854465907716,hv
100_88,0.11087366236174119,0.12249567975621337,-0.574718320509264,0.7151594323649034,hv
100_89,0.04373014297142648,0.08205899960278182,-0.6197741742748049,0.6827255015144057,hv
100_9,0.030619209309078604,0.05720885370162801,-0.6134559676160729,0.6729175571977505,hv
100_90,0.048077374080401566,0.09874092860141727,-0.6176340242908669,0.6844121114316308,hv
100_91,0.05905459491896672,0.08771202915707882,-0.5731428908035319,0.6818409578573212,hv
100_92,0.410685183917959,0.14147029810092598,-0.3028568588916169,0.8378823135337999,hv
100_93,0.11869621909237081,0.1135408302748856,-0.5690159831430258,0.7193971250634803,hv
100_94,0.10978269056104559,0.12387180187563153,-0.5765994355006868,0.7147622903057917,hv
100_95,0.07174191629100461,0.08764293630346962,-0.5492196280792431,0.6860867569278162,hv
100_96,0.3479766049110003,0.1479648024285752,-0.3806452709699247,0.8163703946763425,hv
100_97,0.117674304426746,0.11219326027158494,-0.5458563768991861,0.7141551046337499,hv
100_98,0.11853566400798865,0.12440399401227913,-0.5503754748726273,0.7153500512448312,hv
100_99,0.3249330593405282,0.15934930093564925,-0.39485779614885713,0.8066147398442796,hv
101_0,0.3616610502137774,0.1314011039632336,-0.36704304167643675,0.8222552015205408,hv
101_1,0.4408706383131599,0.15196226140383268,-0.27911148629339677,0.8500537672601588,hv
101_10,0.29185012344486405,0.1074567248644187,-0.4389379093241005,0.7966227519758803,hv
101_100,0.25822499835697715,0.1803064836605792,-0.41064869618859895,0.7710336578251833,hv
101_11,0.20324929727983915,0.12158225408142197,-0.4979148470962533,0.7560250253731334,hv
101_12,0.3348376381696835,0.10952991676930718,-0.3950856134110416,0.8129322305840945,hv
101_13,0.28485132051634443,0.1341568890857558,-0.4350897393685065,0.7915594306937255,hv
101_14,0.09101924236286967,0.08283748906696103,-0.577934642919118,0.7044150262118993,hv
101_15,0.12209849903296652,0.09449196252660833,-0.5127648883076517,0.7113684123118186,hv
101_16,0.17401379390182334,0.12003258044529397,-0.5166382709352842,0.7432243825386422,hv
101_17,0.3355549010404888,0.12325802064899928,-0.39230599162951446,0.8125410894312678,hv
101_18,0.020438623609390985,0.052924795107275276,-0.6148952173488696,0.6662627446297943,hv
101_19,0.45133616751873396,0.09634651755148312,-0.2837604339778707,0.8573799840643559,hv
101_2,0.38648752783277046,0.1146693234799706,-0.3478515157556081,0.8325798316853978,hv
101_20,0.5976682260346858,0.09689458955385993,-0.08737286807858506,0.9016721463400181,hv
101_21,0.11369090956145247,0.12528498049219589,-0.5625697044250866,0.7148032188362662,hv
101_22,0.3804651511578664,0.1329884078028339,-0.352502785648051,0.8294482308387879,hv
101_23,0.2692141339095047,0.1353902011033871,-0.41536059650238116,0.7820779029214668,hv
101_24,0.04916297751059892,0.07719013021694289,-0.5828759368052598,0.6776318568161042,hv
101_25,0.1208131546973714,0.10990537501314673,-0.5585001894570982,0.7186980610861768,hv
101_26,0.31365112028267955,0.10552921729391232,-0.4200644580681843,0.8053783885009711,hv
101_27,0.21698171707062877,0.11288070121182293,-0.4965497298850703,0.7647477549883417,hv
101_28,0.5571514394340594,0.08472291767426393,-0.15081102632111776,0.890007985453943,hv
101_29,0.09557373023689057,0.09327038031600797,-0.5670758577741781,0.7051289876154979,hv
101_3,0.3948103158880297,0.1135913687893844,-0.3378163129771111,0.8353459141030075,hv
101_30,0.4772148553740646,0.15065609650052497,-0.23388232555274113,0.8613505817166404,hv
101_31,0.11089327078252449,0.10946205997614131,-0.5550148907381729,0.7117170792464522,hv
101_32,0.2519091830220031,0.12603476990503598,-0.46093332573896567,0.7775227201902757,hv
101_33,0.3070590727937307,0.13715681391605314,-0.41489794997330104,0.8009122806350841,hv
101_34,0.21029163405512816,0.11118521664054805,-0.48282878170869253,0.7587428806377079,hv
101_35,0.24380373604072184,0.11570514489076826,-0.4688375673022583,0.7749189342075247,hv
101_36,0.04268095905218853,0.07414274812056466,-0.6074327249024221,0.6800002698244246,hv
101_37,0.20271459904874778,0.14652420565663632,-0.4993341630264411,0.7555729829251056,hv
101_38,0.2508917172335477,0.14116314859773746,-0.45583469330064497,0.7760253907401162,hv
101_39,0.23994466714141494,0.10630531982208315,-0.4481757554339519,0.771661847703525,hv
101_4,0.24642150620671469,0.09624854915399758,-0.4772016250725089,0.7783324318786891,hv
