type,ICC,F,df1,df2,p,lower bound,upper bound,measure
ICC2,0.6493498642964101,4.703690940703406,53,53,4.092112994878802e-8,0.15838299334563824,0.8834034916824554,1_0
ICC2,0.5727468768699776,3.681065840661758,53,53,2.445947053539985e-6,0.037013843623764454,0.8534006239691998,2_0
ICC2,0.24048320475848073,1.6332531584953545,53,53,0.03848348264983608,-0.3545090481833638,0.6976780163758097,2_1
ICC2,0.39471171699324636,2.304210664817519,53,53,0.0014312209647765434,-0.1951630317048472,0.7757109122380847,3_0
ICC2,0.23647999277160328,1.619446748042749,53,53,0.04108347932434211,-0.3582389278307688,0.6954989559872765,3_1
ICC2,0.21384119930866563,1.544015278136217,53,53,0.0584805856260034,-0.37898934340431323,0.6830172795189835,3_2
ICC2,0.34144063524923557,2.0369319902606975,53,53,0.005367549221813677,-0.2538976212199038,0.7500012020790152,4_0
ICC2,0.16055234464237048,1.3825190140539794,53,53,0.12080860352556898,-0.4256474194299433,0.6525310708993897,4_1
ICC2,0.16684124523332328,1.4005028916248898,53,53,0.11171409646445611,-0.4202938599075506,0.6562123966995653,4_2
ICC2,0.24969580640519098,1.6655855279413128,53,53,0.032994292021219576,-0.3458546947510801,0.7026611799237015,4_3
ICC2,0.32890212564827864,1.980191231097918,53,53,0.007106896261182311,-0.26712111450387915,0.7437667097412544,5_0
ICC2,0.2831654739880998,1.7900442241620838,53,53,0.0180915886555517,-0.31355711973473144,0.7204032791831901,5_1
ICC2,0.20861867746378454,1.5272266896448967,53,53,0.06319499895371929,-0.3836952396176942,0.6800990210830966,5_2
ICC2,0.484933776542738,2.882995834157918,53,53,8.767599539039789e-5,-0.08515085704671257,0.8165693376327994,5_3
ICC2,0.3295036450445449,1.9828648378838105,53,53,0.00701359145787872,-0.2664917323053096,0.7440674421720257,5_4
ICC2,0.5491069351329563,3.435641523649742,53,53,7.0866936737285945e-6,0.002483961736384812,0.843752136021492,6_0
ICC2,0.32990741003871227,1.9846622847918485,53,53,0.006951548007037607,-0.2660689034531194,0.744269201060137,6_1
ICC2,0.5821394999903056,3.786286332289363,53,53,1.565824822278715e-6,0.05109547270921218,0.8571817657666572,6_2
ICC2,0.6529414579758144,4.762716539938026,53,53,3.2830845009038224e-8,0.16446056055739705,0.8847648116228864,6_3
ICC2,0.455157914662569,2.6707883877240546,53,53,2.401803054165817e-4,-0.12304539321034251,0.8034399609007312,6_4
ICC2,0.1764478839781816,1.4285044760264012,53,53,0.09875915982246025,-0.4120388997016498,0.661791923375728,6_5
ICC2,0.2616820715191901,1.716592328204938,53,53,0.025830019012657517,-0.3268244861065125,0.7077621776523473,7_0
ICC2,0.15288173290733706,1.3609454283922646,53,53,0.13256987463401887,-0.43212390725287864,0.6480098030927941,7_1
ICC2,0.4437963494721249,2.5958052380667835,53,53,3.44604185248283e-4,-0.1370778489998828,0.7983399304236013,7_2
ICC2,0.08910702044994666,1.1956476171195483,53,53,0.25883358732965905,-0.4838079027139119,0.609043585108447,7_3
ICC2,0.28926229539065007,1.8269262678913272,53,53,0.015110218507078341,-0.2970601840707703,0.7218747387476009,7_4
ICC2,0.37950114917385874,2.2232130604870113,53,53,0.0021345819230275086,-0.21237014995584116,0.7684956166799207,7_5
ICC2,0.29835135574957605,1.8561224272910233,53,53,0.013096362216136019,-0.29389653872225563,0.7275445860994418,7_6
ICC2,0.5115452717046471,3.1078373681931395,53,53,3.08924417656413e-5,-0.04697788495125279,0.8277406789197913,8_0
ICC2,0.306926153496053,1.9208408715964769,53,53,0.009526175518183331,-0.26738753785081776,0.72923266808246,8_1
ICC2,0.5715581599573931,3.6680781741726416,53,53,2.5854570491986436e-6,0.03524664177937662,0.8529199833927409,8_2
ICC2,0.727421987682268,6.456289751548073,53,53,1.0994452228066385e-10,0.3006387834022003,0.9121237567633335,8_3
ICC2,0.31206792475752265,1.9072637720737975,53,53,0.010185206194944774,-0.2845347258792532,0.7352824158232544,8_4
ICC2,0.14000920760874203,1.3259229803820252,53,53,0.153774046079001,-0.4420796967099686,0.6401708052737067,8_5
ICC2,0.40835982854075953,2.380433068070978,53,53,9.838418785159655e-4,-0.1794123003756244,0.7821020558715532,8_6
ICC2,0.4643502044310218,2.7337828120993852,53,53,1.776864088018787e-4,-0.11152220299092312,0.8075294302790553,8_7
ICC2,0.4587185169589408,2.827068850321805,53,53,1.1410701136447983e-4,-0.10456916996539432,0.8043469337646627,9_0
ICC2,0.2503408441634866,1.66787910803048,53,53,0.032634753906780535,-0.34524501454053486,0.7030084503149634,9_1
ICC2,0.5352622291640121,3.3290611870292928,53,53,1.1364278128126265e-5,-0.012809120313706988,0.8376179360971058,9_2
ICC2,0.3875759364282037,2.3452944493330423,53,53,0.001169192047074511,-0.18020594560596756,0.7697607473596678,9_3
ICC2,0.3513702910325955,2.083423365880922,53,53,0.00426380117366233,-0.24326784753274897,0.754888024320248,9_4
ICC2,0.3313437951852602,1.9910737171041832,53,53,0.006734647925275693,-0.2645632419109049,0.7449864031613828,9_5
ICC2,0.41401534546974483,2.4130586609799,53,53,8.38425298662579e-4,-0.17279712403194186,0.7847277674264009,9_6
ICC2,0.4183020143828237,2.4382102903072944,53,53,7.413337330450825e-4,-0.16774798736461713,0.7867092039428243,9_7
ICC2,0.1766283717240571,1.4360287172448376,53,53,0.09551538284531011,-0.3996042213343079,0.6593453432170032,9_8
ICC2,0.40557860686666014,2.364616454090781,53,53,0.0010632813884066633,-0.18264631424908526,0.7808059594694989,10_0
ICC2,0.32955085645055804,1.9830748823270157,53,53,0.007006312962988845,-0.26644231409819363,0.7440910388820893,10_1
ICC2,0.392513200664554,2.3004658480577285,53,53,0.0014578752204824866,-0.19393642029228017,0.7741895568736727,10_2
ICC2,0.6159258862631469,4.207328295419286,53,53,2.7877785159740847e-7,0.10354625933727818,0.870543246489002,10_3
ICC2,0.3868504103243867,2.2724726011381637,53,53,0.0016736562719783285,-0.19917871771833015,0.7713491797708268,10_4
ICC2,0.37793390726180676,2.2150924529521543,53,53,0.002222009172761578,-0.21412277638963248,0.7677465641958493,10_5
ICC2,0.34267507462871366,2.0426352678453368,53,53,0.0052181215804541345,-0.2525838024464495,0.7506111380144607,10_6
ICC2,0.5763868413104224,3.721288654457482,53,53,2.0610665256823436e-06,0.04244597801651776,0.854869443153699,10_7
ICC2,0.3422052223930912,2.040461961823569,53,53,0.005274567542082492,-0.25308412378697975,0.750379065504547,10_8
ICC2,0.4703270288660614,2.775914779488077,53,53,1.4539886765045109e-4,-0.10394666180856042,0.8101709395188234,10_9
ICC2,0.45349258768105566,2.823666153279799,53,53,1.1595679534502687e-4,-0.11391244264591441,0.8028788610902317,11_0
ICC2,0.2253743974379899,1.6498812339479303,53,53,0.03555985224169597,-0.30905009658071303,0.6785676451625929,11_1
ICC2,0.5969317216955052,4.001319552284097,53,53,6.410757790946977e-7,0.07762821678894284,0.8627819101927527,11_2
ICC2,0.2699262385733269,1.7394492250915876,53,53,0.023130159082939222,-0.326496325587451,0.7134521621770393,11_3
ICC2,0.49399296335138576,2.9753472428351175,53,53,5.694052150522834e-5,-0.06812956166987447,0.819978412233949,11_4
ICC2,0.3151115483228774,1.9310185197771483,53,53,0.009059951150385659,-0.27380966711895394,0.7356576913873988,11_5
ICC2,0.45195300526389004,2.6493220822477457,53,53,2.662650215356501e-4,-0.12702701955834922,0.8020064464581661,11_6
ICC2,0.5791129568230481,3.75187006973126,53,53,1.8105678664105602e-6,0.046535168696019306,0.8559665826180938,11_7
ICC2,0.10624349220393987,1.2414809953783459,53,53,0.2168432401772525,-0.45775620478018236,0.6167520790609643,11_8
ICC2,0.5213312388944007,3.178254698260493,53,53,2.2405638106481445e-5,-0.036497590950072864,0.8321683586401084,11_9
ICC2,0.4223465175126902,2.6795175488363663,53,53,2.3033208277473938e-4,-0.1574935630034452,0.7911038753222803,11_10
ICC2,0,1,53,53,0.5000000000000008,-0.5501468381002753,0.5501468381002753,12_0
ICC2,0,1,53,53,0.5000000000000008,-0.5325352876128671,0.5449171281957025,12_1
ICC2,0.00454020668569326,1.009121828357481,53,53,0.48687802828556587,-0.5469181341732924,0.5532827435650788,12_2
ICC2,0,1,53,53,0.5000000000000008,-0.5501468381002752,0.5501468381002752,12_3
ICC2,0.2097025606939963,1.534276652520774,53,53,0.0611738140625806,-0.37765057349904524,0.6797274233915455,12_4
ICC2,0.23938616538399204,1.6316526277192556,53,53,0.03877667238099835,-0.3529583839921708,0.6966152260215099,12_5
ICC2,0.2057740319674516,1.5213400088003692,53,53,0.06492998358786219,-0.3816336597282598,0.6776061124105499,12_6
ICC2,0.060040584238421624,1.1340053052157166,53,53,0.3243909528830682,-0.46823324361454877,0.5801223017288263,12_7
ICC2,0.25780106295632466,1.6946953170889656,53,53,0.02870031907396413,-0.338157862645896,0.7070093984903338,12_8
ICC2,0.06513549981415125,1.1393474670266301,53,53,0.3182975389878143,-0.5022925640643404,0.5937317484305744,12_9
ICC2,0.11156576930446245,1.251151442503785,53,53,0.20870415717784,-0.4660343642134789,0.6230526878928135,12_10
ICC2,0.2148722450525562,1.5473561307661061,53,53,0.05758241936035787,-0.3780567514526447,0.6835916707542881,12_11
ICC2,0.11218671764153967,1.2527259275588165,53,53,0.2074022850696848,-0.465536516471063,0.6234354988115479,13_0
ICC2,0.21942644952989215,1.5622185110326785,53,53,0.053740733700523687,-0.3739233627982424,0.6861219692081988,13_1
ICC2,0.28661201618140825,1.8035235318858165,53,53,0.016940736461395454,-0.31015274989026065,0.7221987276049661,13_2
ICC2,0.1921886815144224,1.4758256714568518,53,53,0.079904403621688,-0.39830739561773776,0.6708211761474627,13_3
ICC2,0.28998779762905474,1.827246493930386,53,53,0.015086564680186144,-0.2983143703208786,0.7225727975659109,13_4
ICC2,0.27307909879435827,1.7660786061764406,53,53,0.020328729455817925,-0.3104288559496733,0.7129255123436218,13_5
ICC2,0.1830778281331315,1.4506432261740168,53,53,0.08948765343277823,-0.4021025681634508,0.6647592542540143,13_6
ICC2,0.12575447451416405,1.2896668639934943,53,53,0.1786865357668998,-0.44904947003754997,0.6304748576640593,13_7
ICC2,0.36196614033370145,2.2926634272584607,53,53,0.001515030664955593,-0.20399807951599083,0.7586091691442391,13_8
ICC2,0.16822202644994472,1.4044878123712934,53,53,0.1097827807758944,-0.4191131205621941,0.6570176064061622,13_9
ICC2,0.16127697868866067,1.409243224378733,53,53,0.10751685142570802,-0.38142767799423605,0.6433775817830448,13_10
