type,measure,ICC,F,df1,df2,p,lower bound,upper bound,10%,90%
ICC2,1_0,0.3233700814538113,2.0369076636231833,87,87,0.01389868046188044,-0.2005914627697805,0.7072036854432432,0.4661344675225153,0.21284265522215137
ICC3,1_0,0.32751447443753934,2.0369076636231833,87,87,0.01389868046188044,-0.20476252298830905,0.7111176275001477,0.4640421740581435,0.21063951023180896
ICC2,10_0,0.3562973601022389,2.2185682654328973,87,87,0.00645394025558883,-0.1675382571108317,0.7261939299867344,0.4856144775556933,0.2293214549310283
ICC3,10_0,0.3625821845281972,2.2185682654328973,87,87,0.00645394025558883,-0.16559810690381832,0.7301377574189414,0.48612480518422807,0.22565204697878663
ICC2,10_1,0.2548070913518269,1.7240171328017773,87,87,0.03070752418729127,-0.27717672818536765,0.6693170450625568,0.3614693006938726,0.14183610012803297
ICC3,10_1,0.25592409309389386,1.7240171328017773,87,87,0.03070752418729127,-0.2801497196568287,0.6708796968468684,0.3614693029002609,0.14010998431958116
ICC2,10_2,0.4740113923822643,2.924592309535556,87,87,1.9454541595705587e-4,-0.03105706535239466,0.7877589663913023,0.5884089123412765,0.3832597126283567
ICC3,10_2,0.4786514282300582,2.924592309535556,87,87,1.9454541595705587e-4,-0.02752938254209759,0.7902045988029291,0.5860496012849202,0.3812834872987218
ICC2,10_3,0.28215665700060666,1.8666834267198915,87,87,0.02660196580821001,-0.2442126614745599,0.6840114689099726,0.4284978486512505,0.1581754091141558
ICC3,10_3,0.28690225661052593,1.8666834267198915,87,87,0.02660196580821001,-0.24679109568271604,0.6879840707409351,0.4276847085486016,0.15082450691823945
ICC2,10_5,0.3234223453542306,1.9958334987938235,87,87,0.00594634420287071,-0.20818107569858996,0.7091734921008339,0.42259725847353047,0.2368861058699912
ICC3,10_5,0.324556629015733,1.9958334987938235,87,87,0.00594634420287071,-0.21060042546841393,0.7105254064258736,0.42206108519763,0.23614763257226992
ICC2,10_6,0.34616903754212003,2.1290551176653163,87,87,0.00730549541962077,-0.18114614910691315,0.7208898660326796,0.4644378217529023,0.22705086588930284
ICC3,10_6,0.347511598787759,2.1290551176653163,87,87,0.00730549541962077,-0.1834310977690112,0.7223237566201055,0.462936540770097,0.22667821329175036
ICC2,10_7,0.45034452270541847,2.7654913137205774,87,87,4.986873334473587e-4,-0.05952485393617697,0.7757590238848125,0.5784555026078101,0.3574636717757312
ICC3,10_7,0.45517405372145125,2.7654913137205774,87,87,4.986873334473587e-4,-0.05673866610929582,0.7784486829069471,0.5775300591633573,0.3553825914923598
ICC2,10_8,0.1819800297811132,1.4807116996077274,87,87,0.08727803917577778,-0.33885140920600204,0.6230026521507528,0.28200299891735836,0.06498985994712854
ICC3,10_8,0.18453757469549373,1.4807116996077274,87,87,0.08727803917577778,-0.3480152140520255,0.6275246774965926,0.2804132100963924,0.06174084224972492
ICC2,10_9,0.40274553293515114,2.510102213076655,87,87,0.00262828193739867,-0.11738329028990956,0.7518761616606574,0.5284749074979782,0.29292393804416755
ICC3,10_9,0.41427422304298545,2.510102213076655,87,87,0.00262828193739867,-0.10582007708629931,0.7573959224859503,0.5295149881935723,0.2901874071545066
ICC2,100_0,0.4167484518039744,2.527203260890384,87,87,0.00164288571150001,-0.09994729111986105,0.7582987598530857,0.5560536667418732,0.32163685013947246
ICC3,100_0,0.418268462160807,2.527203260890384,87,87,0.00164288571150001,-0.10165371266031882,0.7596584446532965,0.5543593649237301,0.32051309919852106
ICC2,100_1,0.3833463269100034,2.321307247091928,87,87,0.00287741742974146,-0.13896021334689704,0.7409200760168703,0.50845444833953,0.2845873292778391
ICC3,100_1,0.38561170888675966,2.321307247091928,87,87,0.00287741742974146,-0.1409774052286662,0.7428925593412053,0.5083824637449385,0.28285594147698045
