type,measure,ICC,F,df1,df2,p,lower bound,upper bound,10%,90%
ICC2,1_0,0.32991006657465904,2.0967442266894953,56,56,0.02961623877861711,-0.3172474887057528,0.7742432622428532,0.506836005117898,0.22168027109125943
ICC3,1_0,0.33533692724734193,2.0967442266894953,56,56,0.02961623877861711,-0.3288202678666415,0.7788644546097169,0.5032947609927253,0.22002742342315057
ICC2,10_0,0.47412135272545297,3.1234835980976565,56,56,0.0010665871936725,-0.18044540654096752,0.8396982524940976,0.6087483535932066,0.36507718295534825
ICC3,10_0,0.4980051093946712,3.1234835980976565,56,56,0.0010665871936725,-0.1436895672359393,0.8461247987649255,0.601885706325889,0.3642620985928734
ICC2,10_1,0.2838289429852667,1.844987091233946,56,56,0.03651323936943312,-0.3738277498373957,0.7553997875398524,0.41788433471979686,0.19492010082646727
ICC3,10_1,0.2856189189984862,1.844987091233946,56,56,0.03651323936943312,-0.3806676053210376,0.7574969279043315,0.4162836760313944,0.19238771833112212
ICC2,10_2,0.530638259784763,3.550447859056658,56,56,6.364483174356632e-4,-0.09713083424642834,0.8585302763371384,0.6820133933295237,0.4317833723538615
ICC3,10_2,0.5404846609822817,3.550447859056658,56,56,6.364483174356632e-4,-0.0843008932232049,0.8616380303769657,0.6788016366820402,0.42855265031799816
ICC2,10_3,0.3929661898646795,2.5104568102579723,56,56,0.01001127739618853,-0.25339634526172494,0.803493882055377,0.5464290228158395,0.277455459716853
ICC3,10_3,0.4101266655667285,2.5104568102579723,56,56,0.01001127739618853,-0.2485305549668173,0.8108998447236373,0.5477218973770932,0.2687564977665947
ICC2,10_5,0.30441152946519756,1.9462768793516336,56,56,0.03341502387209781,-0.3535091850825527,0.7645744459373456,0.46037587843953376,0.20152071256923876
ICC3,10_5,0.30657175748740606,1.9462768793516336,56,56,0.03341502387209781,-0.3592212231865261,0.7665850232127863,0.45879633927604513,0.19997549803813047
