type,measure,ICC,F,df1,df2,p,lower bound,upper bound,10%,90%
ICC2,1_0,0.3213773113039903,2.5116193143004772,41,41,0.10917345632917068,-0.42255763609669034,0.8135662520625665,0.588901409380046,-0.00673658944307636
ICC3,1_0,0.3331696505598997,2.5116193143004772,41,41,0.10917345632917068,-0.40530877747298505,0.8171740650794393,0.588901409380046,-0.03905201820406367
ICC2,10_0,0.4040887538430877,2.5855235453074044,41,41,0.02690583138034889,-0.3509772191106856,0.8464603142753122,0.5879530277216438,0.22984632483742215
ICC3,10_0,0.4066872514104391,2.5855235453074044,41,41,0.02690583138034889,-0.3603742137246387,0.8484152034920515,0.587437777931493,0.2253655297130201
ICC2,10_1,0.27246573431110765,1.8637704061697904,41,41,0.08219942266093339,-0.47782770058342816,0.7997637527861055,0.4125146525201741,0.10248043572751853
ICC3,10_1,0.27591309326686936,1.8637704061697904,41,41,0.08219942266093339,-0.48772952227886063,0.8023808647696502,0.41058501374518874,0.09515057014636474
ICC2,10_2,0.32618524679809247,2.109735886230119,41,41,0.05271848921501115,-0.42779204619837574,0.8193948131869045,0.5073566998454607,0.17150382559761246
ICC3,10_2,0.3296000102326795,2.109735886230119,41,41,0.05271848921501115,-0.4398522069714091,0.8221097362768265,0.506252528948559,0.16386446303933483
ICC2,10_3,0.47216055515008754,3.0978445874377996,41,41,0.00313857281804703,-0.2904098550365501,0.872719067567008,0.5891981384618414,0.3642532384880473
ICC3,10_3,0.4937149974627469,3.0978445874377996,41,41,0.00313857281804703,-0.27169246930029184,0.8779395789791165,0.5908405454840604,0.3487097473885016
ICC2,10_4,0.2777776231566308,1.8562272940075315,41,41,0.05723138759678468,-0.4541997490770365,0.8007199013382059,0.415327670969239,0.1778201954836388
ICC3,10_4,0.28692337272897517,1.8562272940075315,41,41,0.05723138759678468,-0.4840334604383999,0.8080397100681871,0.4088776509583558,0.1710246615850785
ICC2,10_5,0.2946378353114012,1.9608316852201688,41,41,0.06385022227291755,-0.4486644470621348,0.8075167427332297,0.4369841760516028,0.13588111534026792
ICC3,10_5,0.3017277344844876,1.9608316852201688,41,41,0.06385022227291755,-0.46666324033552914,0.8122889246794851,0.434033605892207,0.12132295543284448
ICC2,10_6,0.31629590133073093,2.027383783822911,41,41,0.05120302550747704,-0.44041714062840814,0.8164335652357512,0.49908133061125193,0.19518372290773384
ICC3,10_6,0.3191744446266998,2.027383783822911,41,41,0.05120302550747704,-0.4525800741917632,0.819044324116866,0.4951996357958467,0.19148285656292427
ICC2,10_7,0.5579978918432461,3.925115694772849,41,41,0.00269954967851768,-0.16961133195667027,0.8955099872544862,0.7559034416725539,0.45448068392651936
ICC3,10_7,0.5611274682926986,3.925115694772849,41,41,0.00269954967851768,-0.1730729520834634,0.8968282548303924,0.7540435283220039,0.4505195828738546
ICC2,10_8,0.367320690820904,2.371064899014917,41,41,0.0407898370669968,-0.3790853037203645,0.8325463426666985,0.5789319228996223,0.19685707794009863
ICC3,10_8,0.3716394520804953,2.371064899014917,41,41,0.0407898370669968,-0.3961316222611256,0.8363021594050226,0.576117419790231,0.19264879658687997
ICC2,10_9,0.3451399599182513,2.1799426769949055,41,41,0.0404496251992953,-0.4144537258915916,0.8269581096031997,0.5315066121271315,0.2247576616170814
ICC3,10_9,0.3482145381042868,2.1799426769949055,41,41,0.0404496251992953,-0.42468740630841145,0.8292292581766839,0.5309845593344273,0.22112352870641971
