type,ICC,F,df1,df2,p,lower bound,upper bound,measure
ICC2,0.30072402418665967,1.860101117693575,79,79,0.0031869400821195153,-0.1868687274565723,0.6698834212030844,1_0
ICC2,0.5153676542101246,3.126839690694419,79,79,4.256949380165518e-7,0.07089903226419829,0.7894715900888802,2_0
ICC2,0.4595141245935461,2.7003742206879475,79,79,7.97020974901418e-6,-0.002375099324386099,0.7602252902973924,2_1
ICC2,0.2151404817731025,1.5482267253613324,79,79,0.026876549341404845,-0.2739544739623119,0.6162327718345646,3_0
ICC2,0.34824945907996374,2.068658749675486,79,79,7.215531974619739e-4,-0.1350042040078781,0.6981114993941379,3_1
ICC2,0.1801098242002964,1.4393510973766728,79,79,0.05381018603077906,-0.30746004283854894,0.593155039332571,3_2
ICC2,0.3204133738103819,1.9545037030687253,79,79,0.0016319067105425135,-0.1599814209286073,0.6805008885549308,4_0
ICC2,0.32305367932615825,1.9544474910930998,79,79,0.0016325601876198946,-0.1628286843894817,0.6832791667281813,4_1
ICC2,0.3504437569653349,2.079025136693614,79,79,6.698597056244732e-4,-0.1325445610463567,0.6993892476101068,4_2
ICC2,0.2655847238445225,1.7232549007825855,79,79,0.008280399642182053,-0.22356361739075017,0.6483082016256516,4_3
ICC2,0.3745716470004157,2.1978083347323545,79,79,2.854513972790148e-4,-0.10510484780116096,0.7132943830943483,5_0
ICC2,0.38476429576982535,2.2507866273829764,79,79,1.9509600312515304e-4,-0.09329154654259807,0.7190899572531525,5_1
ICC2,0.34977961105058053,2.07588016923225,79,79,6.851404248996216e-4,-0.13328964071231753,0.699002746508453,5_2
ICC2,0.3510992176852948,2.082135288642688,79,79,6.550818285603106e-4,-0.1318086947043941,0.6997704956953679,5_3
ICC2,0.5082593573073105,3.067184662728577,79,79,6.364549557808302e-7,0.06130098646668364,0.7858170835104757,5_4
ICC2,0.5381587932596876,3.330492755542654,79,79,1.1003212869903237e-7,0.10223528679944593,0.8010598425687838,6_0
ICC2,0.5249807532859263,3.210355719779543,79,79,2.4349593642028134e-7,0.08401078315168369,0.7943832632330348,6_1
ICC2,0.45751955975022246,2.6867688705589603,79,79,8.76809790120587e-6,-0.00490367061878552,0.75915795637703265,6_2
ICC2,0.6025178995043964,4.032221723604865,79,79,1.3277552536896508e-9,0.19568100798038798,0.8327505485881747,6_3
ICC2,0.3947084512273471,2.3041928374109824,79,79,1.3297257116013858e-4,-0.08163620603279051,0.7247000353817233,6_4
ICC2,0.34158011613110234,2.0375753360423015,79,79,9.015595401549145e-4,-0.1424440170932813,0.6942142799535894,6_5
ICC2,0.41219180791629484,2.4024704434796234,79,79,6.577830641087673e-5,-0.060826174986896665,0.7344590786155528,7_0
ICC2,0.180406953928058,1.4402354431694928,79,79,0.053515759109598764,-0.30718075373300313,0.5933536499148245,7_1
ICC2,0.265310356331122,1.7222379098913676,79,79,0.008338604683907312,-0.22384484706936825,0.6481373094644817,7_2
ICC2,0.45472462457300195,2.667871484385655,79,79,1.0012319012293636e-5,-0.008437039216149045,0.7576596064839259,7_3
ICC2,0.34956578259020565,2.0748689820848343,79,79,6.901268904495434e-4,-0.13352941161422052,0.6988782654474036,7_4
ICC2,0.4159808807896318,2.424545421299136,79,79,5.618097664868233e-5,-0.056261691878951615,0.7365567726511132,7_5
ICC2,0.3145000492200079,1.9175786194066267,79,79,0.0021219123842146498,-0.17210653388969377,0.6781763035435706,7_6
ICC2,0.5777861074520919,3.7369355563615487,79,79,8.133318930857887e-9,0.158850823682964,0.8207516461859068,8_0
ICC2,0.3837620052078168,2.2454993312680585,79,79,2.0264682211045118e-4,-0.09445914850913192,0.7185220933672303,8_1
ICC2,0.47472215188940026,2.8075087445509226,79,79,3.7746438007852735e-6,0.017099507291722542,0.7683106495100376,8_2
ICC2,0.5642942932029831,3.5902981604754007,79,79,2.0511148874200644e-8,0.13926713921604045,0.8141105098450002,8_3
ICC2,0.31692761532995195,1.9279473813980665,79,79,0.0019712668599293627,-0.16948260436572848,0.6796281833818483,8_4
ICC2,0.2730128502650998,1.7510802643843595,79,79,0.0068322153834586355,-0.2159190544565784,0.6529203892721928,8_5
ICC2,0.41986665506850845,2.4474832682409966,79,79,4.769764094637202e-5,-0.051560284712431674,0.7387016513267627,8_6
ICC2,0.40632144051277974,2.3688263937302803,79,79,8.367616632302307e-5,-0.06785932397950857,0.7311970069926177,8_7
ICC2,0.4916423376722956,2.934237936691655,79,79,1.574163356532673e-6,0.0391799396972424,0.7771979946253792,9_0
ICC2,0.2842026580564462,1.7940870183590705,79,79,0.0050655057045742155,-0.20429039849434366,0.65981587802756,9_1
ICC2,0.2917263516925555,1.8237673458265502,79,79,0.00411514331953747,-0.19639445865829033,0.6644172107486618,9_2
ICC2,0.5421326655549863,3.438935292575453,79,79,5.4231999872128166e-8,0.11141207669089433,0.8027320431717028,9_3
ICC2,0.3444808270871038,2.051016785844272,79,79,8.188090766950024e-4,-0.13921484274012466,0.6959118328602331,9_4
ICC2,0.32536059416302815,1.9645466642156186,79,79,0.0015192113448991137,-0.16031419469810362,0.6846499581652161,9_5
ICC2,0.34546789833878355,2.0556178913746703,79,79,7.92254117544983e-4,-0.1381136728721881,0.6964885981057972,9_6
ICC2,0.4685130241195338,2.7630273003148984,79,79,5.143662920871593e-6,0.009106520362859073,0.7650207880586528,9_7
ICC2,0.40499705943807357,2.361327925726184,79,79,8.829095457750211e-5,-0.06943959662495011,0.7304590209485643,9_8
ICC2,0.2648029393253317,1.7203590805499955,79,79,0.008447178204912595,-0.22436474341264312,0.6478211596700417,10_0
ICC2,0.43259881421365654,2.5248428274400996,79,79,2.750395875060181e-5,-0.036008924947044704,0.7456848666221112,10_1
ICC2,0.3765711051535561,2.2080643302434964,79,79,2.6517347629949025e-4,-0.10279800180705895,0.7144349230909718,10_2
ICC2,0.47398513386709706,2.802173911671267,79,79,3.9171118803687076e-6,0.016147696787646517,0.7679209516855788,10_3
ICC2,0.3068018982172027,1.8851781256415912,79,79,0.00266960336289117,-0.1803824788002796,0.6735534788072045,10_4
ICC2,0.34219309457995006,2.040405905624961,79,79,8.83469609919121e-4,-0.1417624765063008,0.6945733319245044,10_5
ICC2,0.3250254405717586,1.9630746404637287,79,79,0.001535234750068271,-0.1606801652045666,0.6844510208503833,10_6
ICC2,0.3971780307546143,2.3177291177020813,79,79,1.2066974666609684e-4,-0.07872149675959311,0.7260865604758936,10_7
ICC2,0.3400461647151721,2.0305150043363636,79,79,9.483008108302832e-4,-0.1441475538258552,0.6933150038151122,10_8
ICC2,0.4714401172304521,2.7838664363258148,79,79,4.4487870371057e-6,0.012867301106818288,0.7665736087265698,10_9
ICC2,0.3038255326680554,1.8781723772965968,79,79,0.0028051838666612004,-0.18048226296434952,0.6710835987492495,11_0
ICC2,0.5718459312789143,3.7161137435309834,79,79,9.265523123272611e-9,0.15309399242122604,0.8175039028391848,11_1
ICC2,0.4149565029052723,2.418549235965901,79,79,5.863905202101482e-5,-0.057497637603975846,0.7359902642297941,11_2
ICC2,0.3061298651007152,1.8823837500309017,79,79,0.0027228916347384648,-0.18110172968416294,0.6731485592272904,11_3
ICC2,0.3590801002136846,2.1205147497545616,79,79,4.973604354359063e-4,-0.12280631913330908,0.7043967952387874,11_4
